paper,metric,scale_type,scale_value,runs,avg_ms,ok_runs,total_runs,status,message,model_type,avg_candidate_count,avg_exact_match_count
b32,search,file_count,10,5,0.052,5,5,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,2.200,2.200
b32,search,file_count,100,5,0.052,5,5,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,20.800,20.800
b32,search,file_count,300,5,0.065,5,5,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,50.000,50.000
b32,search,file_count,500,5,0.064,5,5,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,77.400,77.400
b32,search,file_count,1000,5,0.083,5,5,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,160.200,160.200
b32,trapdoor,keyword_count,10,5,0.119,5,5,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,,
b32,trapdoor,keyword_count,50,5,0.377,5,5,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,,
b32,trapdoor,keyword_count,300,5,2.099,5,5,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,,
b32,trapdoor,keyword_count,500,5,3.445,5,5,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,,
b33,search,keyword_pool_size,10,5,4.725,5,5,ok,primitive_surrogate: time-epoch lattice/PEKS model using hash tokens and vector checks,primitive_surrogate,1000.000,1000.000
b33,search,keyword_pool_size,300,5,4.567,5,5,ok,primitive_surrogate: time-epoch lattice/PEKS model using hash tokens and vector checks,primitive_surrogate,440.800,440.800
b33,search,keyword_pool_size,500,5,4.548,5,5,ok,primitive_surrogate: time-epoch lattice/PEKS model using hash tokens and vector checks,primitive_surrogate,353.600,353.600
b33,search,keyword_pool_size,1000,5,4.678,5,5,ok,primitive_surrogate: time-epoch lattice/PEKS model using hash tokens and vector checks,primitive_surrogate,160.200,160.200
b33,search,file_count,10,5,0.075,5,5,ok,primitive_surrogate: time-epoch lattice/PEKS model using hash tokens and vector checks,primitive_surrogate,2.200,2.200
b33,search,file_count,100,5,0.457,5,5,ok,primitive_surrogate: time-epoch lattice/PEKS model using hash tokens and vector checks,primitive_surrogate,20.800,20.800
b33,search,file_count,300,5,1.348,5,5,ok,primitive_surrogate: time-epoch lattice/PEKS model using hash tokens and vector checks,primitive_surrogate,50.000,50.000
b33,search,file_count,500,5,2.271,5,5,ok,primitive_surrogate: time-epoch lattice/PEKS model using hash tokens and vector checks,primitive_surrogate,77.400,77.400
b33,search,file_count,1000,5,4.553,5,5,ok,primitive_surrogate: time-epoch lattice/PEKS model using hash tokens and vector checks,primitive_surrogate,160.200,160.200
b33,encryption,keyword_count,10,5,0.030,5,5,ok,primitive_surrogate: time-epoch lattice/PEKS model using hash tokens and vector checks,primitive_surrogate,,
b33,encryption,keyword_count,50,5,0.113,5,5,ok,primitive_surrogate: time-epoch lattice/PEKS model using hash tokens and vector checks,primitive_surrogate,,
b33,encryption,keyword_count,300,5,0.667,5,5,ok,primitive_surrogate: time-epoch lattice/PEKS model using hash tokens and vector checks,primitive_surrogate,,
b33,encryption,keyword_count,500,5,1.106,5,5,ok,primitive_surrogate: time-epoch lattice/PEKS model using hash tokens and vector checks,primitive_surrogate,,
b33,trapdoor,keyword_count,10,5,0.088,5,5,ok,primitive_surrogate: time-epoch lattice/PEKS model using hash tokens and vector checks,primitive_surrogate,,
b33,trapdoor,keyword_count,50,5,0.253,5,5,ok,primitive_surrogate: time-epoch lattice/PEKS model using hash tokens and vector checks,primitive_surrogate,,
b33,trapdoor,keyword_count,300,5,1.299,5,5,ok,primitive_surrogate: time-epoch lattice/PEKS model using hash tokens and vector checks,primitive_surrogate,,
b33,trapdoor,keyword_count,500,5,2.104,5,5,ok,primitive_surrogate: time-epoch lattice/PEKS model using hash tokens and vector checks,primitive_surrogate,,
